SCHEME NAME,CATEGORY,DETAILS,BENEFITS,ELIGIBILITY,GENDER,AGE,RESIDENTIAL STATUS,CASTE AND COMMUNITIES,DISABILITY STATUS,ORPHAN,OCCUPATION,ANNUAL INCOME,EDUCATION LEVEL,MARITAL STATUS,DOCUMENTS REQUIRED
Chief Minister’s Solar Rooftop Capital Incentive Scheme,"renewable energy, Other, solar rooftop, utility","Chief Minister’s Solar Rooftop Capital Incentive Scheme is a capital subsidy scheme by the Tamil Nadu Government. In this scheme, a capital subsidy of ₹ 20,000 per kilowatt is provided for grid-connected domestic solar PV systems in addition to the 30% subsidy scheme* of the Ministry of New and Renewable Energy (MNRE) of the Government of India. For individual homes/flats, the solar system capacity shall be 1 kW. For the residential flats solar system capacities of 5 kW, 10 kW, and multiples thereof can be applied for common usage as a group application.","A capital subsidy of ₹ 20,000 per kilowatt for grid-connected domestic solar PV systems in addition to the 30% subsidy scheme* of the Ministry of New and Renewable Energy (MNRE) of the Government of India. For individual homes/flats, the solar system capacity shall be 1 kW. For the residential flats solar system capacities of 5 kW, 10 kW, and multiples thereof can be applied for common usage as a group application. (* limited to 30% of MNRE benchmark cost or 30% of the project cost, whichever is less), You may opt for any capacity out of 1, 2, 5 & 10 kWp, but the subsidy will be limited to 1kWp per house / flat., A grid-connected photovoltaic power system will reduce the power bill due to the import and export of power through net metering provision. Illustration: someone imports (consumes) 1,000 kWh from the grid and exports 600 kWh to the grid in a billing cycle. The energy bill will be for 400 kWh (1000 kWh – 600 kWh) accounted by Netmeter., Grid-connected PV systems do not require batteries. Batteries are costly require periodic maintenance and also lead to the wastage of 15 – 20 % of energy in storage and retrieval., Grid-connected PV systems are much easier to operate and maintain., Segregation of load is not required.","Eligibility for Consumer,  is open to applicants from individual homes/flats and residential flats, having an electricity connection., Eligibility for Vendor / Installer, Qualified Solar Installers empanelled by the Tamil Nadu Energy Development Agency through a tendering system under this scheme (www.teda.in/pdf/CIS_INSTALLERS.pdf)","Male, Female, Others",,,,,,,,,,"Duly filled out online application form., Proof of possession of premises such as ownership document or lease agreement., Proof of Identity (Aadhaar Card, Voter ID Card, or Passport), Proof of address such as electricity bill, telephone bill, or ration card., Site plan and building layout plan indicating the location of the solar rooftop system., Structural stability certificate from a structural engineer., NOC from the electricity distribution company., Details of the solar rooftop system such as technical specifications, warranty, and performance guarantee., Proof of payment for the solar rooftop system., Bank account details for the transfer of the capital subsidy., Any other document as required by TEDA."
Child Adoption - Tamil Nadu,"accommodation, adoption, parents, child, Child Welfare, ngo, Child Welfare","""Child Adoption - Tamil Nadu"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu.  aims to provide a family for orphaned, abandoned, destitute and neglected children. According to Central Adoption Resource Authority (CARA), “adoption is a process by which a child who is abandoned / separated from biological parents, becomes the legitimate child of a new set of parents referred to as adoptive parents, with all the rights, privileges and responsibilities that are attached to this relationship”.","Accommodation, food, and health care to the babies till they are given in adoption., A family to the destitute child and a child to childless parents., Special concessions are given to Female government Employees to adopt children:, Special adoption leave of 270 days is extended to Female government servants of the state government who adopt a child below one year. The leave is eligible only from the date of legalization of adoption.","The parents must have at least two years of a stable marital relationship., The single prospective adoptive parents should be between 30-55 years of age., An unmarried/single male persons are not eligible to adopt a girl child., The parents should have adequate financial resources to upbring the child., Age Criteria:, For a child up to 4 years old:, Maximum composite age of the Prospective Adoptive Parents: 90 years., For a single Prospective Adoptive Parent: Minimum age 25 years, maximum age 45 years., For a child above 4 years up to 8 years old:, Maximum composite age of the Prospective Adoptive Parents: 100 years., For a single Prospective Adoptive Parent: Minimum age 25 years, maximum age 50 years., For a child above 8 years up to 18 years old:, Maximum composite age of the Prospective Adoptive Parents: 110 years., For a single Prospective Adoptive Parent: Minimum age 25 years, maximum age 55 years.","Male, Female, Others",30 - 55,,,,,,,,Married,"PAN Card/Passport., Proof of Residence (Aadhaar Card/Voter ID card/Passport /Driving License/ Electricity Card)., Proof of Income of Last Year (Pay Bill/ Income Tax Certificate)., Copy of Marriage Certificate & Photograph., Copy of Birth Certificate of the Prospective Adoptive Parents., Medical Certificate., Letter of Identification (from their friends/relatives)."
Concession in Railway Travel,"culture, artist, railway, Transport, Tribal Welfare, travel, Tribal Welfare, Transport","""Concession in Railway Travel"" was launched by the Department of Art and Culture, Tamil Nadu. Under the scheme, individual artists and troupes consisting of more than three artists are allowed to travel in the train on concession by the Railways. A concession certificate will be issued by the Mandram.","75% concession in Second Class Fare., 50% concession in First Class Fare.","The applicant should be an individual artist or a troupe consisting of more than three artists., The applicant should undertake the journey by train., The purpose of the journey should be to deliver a cultural performance (public programme) in the outstation., The distance between the place from which the cultural troupe is to start and the place of performance should be beyond 300 km as fixed by the Indian Railways.","Male, Female, Others",,,,,,Artist,,,,"Bio-Data of the Artist., Proof of Identity., Train Ticket., Confirmation letter obtained from the programme organizer or advertisement details., Any other document, required by the Department."
Construction of Free Houses for Tribals,"free house construction, Social Welfare, Housing, Tribal welfare, Tribal Welfare, Housing, Social Welfare, Tribal Welfare","The ""Construction of Free Houses for Tribals"" scheme launched by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, is designed to provide free housing to Tribal communities who have been allocated house site pattas. Under this program, the state government constructs houses on these lands to ensure that Tribals have access to safe and permanent shelter.  is primarily aimed at improving the living conditions of SC/ST communities by providing basic infrastructure.",Housing Infrastructure: Free house construction for eligible Tribal people.,"The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the Scheduled Castes (SC)/ Scheduled Tribes (ST) communities., The beneficiary must possess a free house site patta.","Male, Female, Others",,,"SC, ST",,,,,,,"Proof of identity (Aadhar card or any other document as directed by the authority)., Caste certificate (Adi Dravidar/ Tribal/ Adi Dravidar converted to Christian)., Free house site patta., Any other documents (if required)."
Destitute Agricultural Labourers Pension Scheme,"Senior Citizens, financial assistance, agriculture, senior citizen, Agriculture, labour, destitute, Tribal Welfare, Subsidy, clothes, Agriculture, Financial Assistance, Subsidy, Senior Citizens, Tribal Welfare","The ""Destitute Agricultural Labourers Pension Scheme"" was launched by the Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu.  aims to give pensions of ₹1,000/- to destitute agricultural labourers of 60 years.  also provides one free saree to Females, one free dhoti to males during Pongal and Deepavali, and free rice in the Anganwadi Centres.","Pension:, ₹1,000/- per month., Free Clothes during Pongal and Deepavali:, One free dhoti to a male pensioner., One free saree to a Female pensioner., Free Rice in Anganwadi Centres:, 2kg/month to those who are taking nutritious meal., 4kg/month to those who are not taking nutritious meal","The applicant should be destitute agricultural labour., The age of the applicant should be 60 years and above., The applicant should not have any source of income or means of subsistence to support., The applicant should not be a habitual beggar., The applicant should not possess property valued at more than ₹5000/-., The applicant should not be supported by a son or son's son aged 20 years or above., The applicant should be a hearing and speech-impaired person.","Male, Female, Others",> =60,,,Yes,,Agricultural Labour,0,,,"Aadhaar Card. , Proof of age., Bank Passbook., Any other document if required., Aadhaar Card."
Destitute Differently Abled Pension Scheme,"financial assistance, Disability Welfare, Social Welfare, Tribal Welfare, destitute, pension, differently abled person, Subsidy, clothes, Financial Assistance, Social Welfare, Subsidy, Disability Welfare, Tribal Welfare","The ""Destitute Differently Abled Pension Scheme"" was launched by the Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu.  aims to provide a pension of ₹1,000/- to differently-abled persons with disability 60% and above. One free saree to Females and one free dhoti to males is given on Pongal and Diwali. A nutritious meal is provided to the beneficiaries.","Pension:, ₹1,000/- per month., Free Clothes during Pongal and Deepavali:, One free dhoti to a male pensioner., One free saree to a Female pensioner., Free Rice in Anganwadi Centres:, 2kg/month to those who are taking nutritious meal., 4kg/month to those who are not taking nutritious meal.","The applicant's age should be 45 years and above., The applicant should have a disability of 60% or above., The applicant should not have any source of income or means of subsistence to support., The applicant should not be a habitual beggar., The applicant should not be supported by a son or son's son aged 20 years or above., The applicant should not possess property valued at more than ₹5000/-.","Male, Female, Others",> =45,,,Yes,,,0,,,"Proof of age., Bank Passbook., Disability Certificate., Any other document if required."
Destitute Widow Pension Scheme,"financial assistance, widow, Social Welfare, Women Welfare, women, Tribal Welfare, destitute, pension, Subsidy, Women Welfare, Financial Assistance, Social Welfare, Subsidy, Tribal Welfare","The 'Destitute Widow Pension Scheme' is a state scheme launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu.  aims to provide a pension of ₹1,000/- to the destitute widows who are 18 years and above in age. The widow is also provided with one free saree during Pongal and Deepavali, and free rice in the Anganwadi Centres. Interested applicants should apply via CSC.","Pension:, ₹1,000/- per month., Free Clothes during Pongal and Deepavali:, One free saree., Free Rice in Anganwadi Centres:, 2kg/month to those who are taking nutritious meals., 4kg/month to those who are not taking nutritious meals.","The applicant should be a widow., The applicant should be destitute., The applicant's age should be 18 years and above., The applicant's fixed assets should not exceed ₹1,00,000/-.","Male, Female, Others",>=18,,,,,,,,Widow,"Applicant's Photo., Aadhaar Card., Proof of Age., Aadhaar Consent Form., Smart Ration Card or Any Address Proof., Husband Death Certificate., Self–declaration of Applicant., Widow Certificate., Any Identity Proof (Voter ID Card, Passport, PAN Card, Driving License)., Bank Passbook"
Destitute/Deserted Wives Pension Scheme,"pension, financial assistance, deserted, Divorced woman, Subsidy, Social Welfare, Tribal Welfare, destitute, Financial Assistance, Social Welfare, Subsidy, Tribal Welfare","The 'Destitute/Deserted Wives Pension Scheme' is a state scheme was launched by the Social Welfare and Women Empowerment Department, Tamil Nadu. The objective is to provide financial assistance of ₹1,000/- to the destitute/deserted wives.  provides other benefits every year during the Pongal and Deepavali festival one priceless saree is given and a nutritious meal is supplied through the Anganwadi Centres.","Pension:, ₹1,000/- per month., Free Clothes during Pongal and Deepavali:, One free saree., Free Rice in Anganwadi Centres:, 2kg/month to those who are taking nutritious meals., 4kg/month to those who are not taking nutritious meals.","The applicant should be legally divorced or deserted for a minimum of 5 years., The applicant should be a destitute woman., The applicant's age should be 30 years and above., The applicant's fixed assets not exceeding ₹1,00,000/-",Female,>=30,,,,,,,,Divorced,"Applicant's Photo, Aadhaar Card, Proof of Age., Aadhaar Consent Form, Smart Ration Card or Any Address Proof, Legal Separation Certificate (Issued by Court of law), Self–declaration of Applicant, Any Identity Proof (Voter ID Card, Passport, PAN Card, Driving License), Bank Passbook, Not remarried certificate, Abandonment Certificate"
Differently Abled Pension Scheme,"financial assistance, differently-abled, meal, Social Welfare, Tribal Welfare, pension, ration, Subsidy, clothes, Financial Assistance, Social Welfare, Subsidy, Tribal Welfare","The 'Differently Abled Pension Scheme' is a state scheme launched by the Social Welfare and Women Empowerment Department, Tamil Nadu.  aims to provide a pension of ₹1,000/- to differently-abled persons with disability 40% and above. One free saree to Females and one free dhoti to males is given on Pongal and Diwali. A nutritious meal is provided to the beneficiaries through the Anganwadi Centres.","Pension:, ₹1,000/- per month., Free Clothes during Pongal and Deepavali:, One free dhoti to a male pensioner., One free saree to a Female pensioner., Free Rice in Anganwadi Centres:, 2kg/month to those who are taking nutritious meal., 4kg/month to those who are not taking nutritious meal.","The applicant should be 18 years or above in age., The applicant should have a disability of 40% or above., The applicant should not be employed in government or government-affiliated organizations., If the applicant is employed permanently in the private sector institutions and drawing monthly salaries, OR if the applicant is Self-Employed, his/her income should not exceed ₹ 3,00,000/- per annum.","Male, Female, Others",>=18,,,Yes,,"Employee, Self-Employed",<300000,,,"Applicant's Photo., Aadhaar Card., Proof of Age., Aadhaar Consent Form., Smart Ration Card or Any Address Proof., Self–declaration of Applicant., Any Identity Proof (Voter ID Card, Passport, PAN Card, Driving License (Optional))., Bank Passbook., Differently Abled ID card."
Distress Relief Scheme,"family, financial assistance, Tribal Welfare, death, Subsidy, relief, bpl, Financial Assistance, Subsidy, Tribal Welfare","The ""Distress Relief Scheme"" was launched by the Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu. 's objective is to provide financial assistance of ₹20,000/- to the BPL households on the death of their Primary School breadwinner (male or Female).","Financial Assistance of ₹20,000/-.","1. The applicant should be the legal heir of the deceased Primary School breadwinner., 2. The family of the applicant should be solely dependent on agriculture (agricultural labourers/ small and marginal farmers)., OR, The annual income of the family should not exceed ₹24,000/-., 3. The family should be from the ""Below Poverty Line"" category.","Male, Female, Others",,,,,,Agricultural Labour,<24000,,,"Copy of Ration card., Copy of Aadhaar Card., Breadwinner Death Certificate (attested by the Panchayat President)."
Distribution of Certified Seeds of Maize,"financial assistance, Subsidy, agriculture, Agriculture, maize, Tribal Welfare, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The ""Distribution of Certified Seeds of Maize"" scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, is aimed at maize-growing farmers across selected districts in Tamil Nadu, offering a subsidy of the seed cost.  ensures a 24% flow of benefits to SC/ST farmers and 20% to women farmers or women groups, with preference given to small and marginal farmers.","Subsidy on Certified Seeds: Farmers can receive 50% of the cost of certified maize seeds, with a cap of ₹1,200/- per quintal, whichever is less.","The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should be growing maize in the specified districts of Tamil Nadu: Coimbatore, Dindigul, Erode, Dharmapuri, Krishnagiri, Namakkal, Perambalur, Virudhunagar, Theni, Villupuram, Vellore, Salem, Pudukkottai, Madurai, Sivagangai, Trichy, Tirunelveli, and Thoothukudi., Note: Preference will be given to Small/Marginal farmers 24% flow to SC/ST farmers will be ensured 20% flow to women farmers/ women groups.","Male, Female, Others",,,,,,Farmer,,,,"Proof of identity (Aadhaar card, Voter ID, etc.)., Proof of land ownership or tenancy., Recent photograph., Caste certificate (for SC/ST applicants)., Documents proving membership in women’s groups (if applicable)., Bank account details., Any other documents (if required)."
Distribution of Certified Seeds-Oil Seeds,"financial assistance, Subsidy, agriculture, Agriculture, Tribal Welfare, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The ""Distribution of Certified Seeds-Oil Seeds"" scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, provides financial assistance to farmers by subsidizing the cost of certified oil seeds.  also encourages the farmers to use high-quality seeds and improve agricultural productivity.","Financial Assistance: Subsidy of 50% of the seed cost or ₹1,200/- per quintal, whichever is less.","The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should produce and supply Foundation and Certified Class seeds to the Department.","Male, Female, Others",,,,,,Farmer,,,,"Proof of identity (e.g., Aadhaar card, Voter ID)., Proof of land ownership or cultivation., Seed purchase receipt., Certificate of seed production and supply to the Department., Bank account details., Any other documents (if required)."
Distribution of Gypsum,"financial assistance, Subsidy, agriculture, Agriculture, Tribal Welfare, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The “Distribution of Gypsum” scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, provides financial assistance to farmers by subsidizing 50% of the cost of gypsum material and transportation cost. It is targeted at farmers who grow pulse crops, helping them improve soil fertility and increase yield.  includes special provisions for SC/ST farmers (24%) and farm women (20%).","Financial Assistance:, 50% on the cost of Material., Transport cost limited to ₹750/- per hectare.","The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should grow pulse crops.","Male, Female, Others",,,,,,Farmer,,,,"Proof of identity (Aadhar, Voter ID, etc.), Land ownership documents., Proof of cultivation (for Pulses crops)., Bank account details., Any other documents (if required)."
Distribution of Gypsum-Oil Seeds,"financial assistance, Subsidy, agriculture, Agriculture, Tribal Welfare, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The “Distribution of Gypsum-Oil Seeds” scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, provides financial assistance to farmers by subsidizing 50% of the cost of gypsum material and transportation costs. The subsidy is available to farmers who produce and supply Foundation and Certified Class seeds to the Department of Agriculture.",Financial Assistance: 50% of the cost of material plus transport limited to ₹750/- per ha whichever is less.,"The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should be engaged in seed production., The beneficiary should produce and supply Foundation and Certified Class seeds to the Department.","Male, Female, Others",,,,,,Farmer,,,,"Identity Proof (e.g., Aadhar Card), Proof of Land Ownership/Lease Agreement, Certificate of seed production and supply to the Department (Foundation/Certified Class)., Bank account details., Any other documents (if required)."
Distribution of Iron Boxes at Free of Cost,"most backward classes, backward classes, Social Welfare, denotified communities, Tribal Welfare, social empowerment, Social Welfare, Tribal Welfare","The ""Distribution of Iron Boxes at Free of Cost"" scheme launched by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, aims to provide complimentary iron boxes to support individuals from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNCs) engaged in washing work.",Free provision of iron boxes to eligible individuals.,"The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to Backward Classes (BC)/ Most Backward Classes (MBC)/ and Denotified Communities (DNCs)., The beneficiary should be engaged in washing work., Annual income should not exceed ₹40,000/- in rural areas and ₹60,000/- in urban areas.","Male, Female, Others",,Rural,"BC, MBC DNC",,,,<40000,,,"Identity proof (Aadhaar, PAN card, etc.)., Proof of community (BC/MBC/DNC certificate)., Income certificate., Proof of residence (Aadhaar, Voter ID, etc.)., Proof of occupation (if applicable)., Any other documents (if required)."
Distribution of Iron Boxes at Free of Cost,"most backward classes, backward classes, Social Welfare, denotified communities, Tribal Welfare, social empowerment, Social Welfare, Tribal Welfare","The ""Distribution of Iron Boxes at Free of Cost"" scheme launched by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, aims to provide complimentary iron boxes to support individuals from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNCs) engaged in washing work.",Free provision of iron boxes to eligible individuals.,"The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to Backward Classes (BC)/ Most Backward Classes (MBC)/ and Denotified Communities (DNCs)., The beneficiary should be engaged in washing work., Annual income should not exceed ₹40,000/- in rural areas and ₹60,000/- in urban areas.","Male, Female, Others",,Urban,"BC, MBC DNC",,,,<60000,,,"Identity proof (Aadhaar, PAN card, etc.)., Proof of community (BC/MBC/DNC certificate)., Income certificate., Proof of residence (Aadhaar, Voter ID, etc.)., Proof of occupation (if applicable)., Any other documents (if required)."
Distribution of Manually Operated Plant Protection Equipment,"equipment distribution, financial assistance, manually operated equipment, Subsidy, agriculture, Agriculture, Tribal Welfare, plant protection equipment, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The “Distribution of Manually Operated Plant Protection Equipment” scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, provides financial assistance to farmers by offering a subsidy for manually operated plant protection equipment. Farmers who raise seed farms with pulse crops are eligible to receive this subsidy.",Financial Assistance: A subsidy of 50% on the cost of equipment or ₹800/- whichever is less.,"The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should raise seed farms with Pulses crop.","Male, Female, Others",,,,,,Farmer,,,,"Proof of Identity (Aadhar Card, Voter ID, etc.)., Proof of Land Ownership., Proof of Seed Farm with Pulses Crop., Bill or receipt of purchased equipment(s)., Caste Certificate (for SC/ST applicants)., Proof of being a Farm Woman (if applicable)., Bank Account Details., Any other documents (if required)."
Distribution of Minikits At Free of Cost,"minikits, financial assistance, Subsidy, agriculture, Agriculture, Tribal Welfare, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The “Distribution of Minikits at Free of Cost” scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, provides subsidies for minikits to maize-growing farmers in specific districts including Coimbatore, Dindigul, Erode, Dharmapuri, Krishnagiri, Namakkal, Perambalur, Virudhunagar, Theni, Villupuram, Vellore, Salem, Pudukkottai, Madurai, Sivagangai, Trichy, Tirunelveli, and Thoothukudi.",Quantum of Assistance: Subsidy for Minikits.,"The beneficiary should be a Farmer., The beneficiary should be a resident of any of the following districts of Tamil Nadu: Coimbatore, Dindigul, Erode, Dharmapuri, Krishnagiri, Namakkal, Perambalur, Virudhunagar, Theni, Villupuram, Vellore, Salem, Pudukkottai, Madurai, Sivagangai, Trichy, Tirunelveli and Thoothukudi., The beneficiary should be involved in maize cultivation.","Male, Female, Others",,,,,,Farmer,,,,"Proof of Identity (Aadhar Card, Voter ID, etc.)., Proof of Land Ownership., Proof of maize cultivation., Caste Certificate (for SC/ST applicants)., Proof of being a Farm Woman (if applicable)., Bank Account Details., Any other documents (if required)."
Distribution of Nuclear Poly Hedrosis Virus,"nuclear poly hedrosis virus, financial assistance, npv, Subsidy, agriculture, Agriculture, Tribal Welfare, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The “Distribution of Nuclear Poly Hedrosis Virus” scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, provides subsidies for the distribution of Nuclear Poly Hedrosis Virus (NPV) to farmers raising seed farms with Pulses crops.",Quantum of Assistance: 50% cost of input limited to ₹250/- per hectare.,"The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should raise seed farms with Pulses crops.","Male, Female, Others",,,,,,Farmer,,,,"Proof of Identity (Aadhar Card, Voter ID, etc.)., Proof of Land Ownership., Proof of Pulses crop cultivation., Caste Certificate (for SC/ST applicants)., Bank Account Details., Any other documents (if required)."
Distribution of Rhizobium,"financial assistance, rhizobium, Subsidy, agriculture, Agriculture, Tribal Welfare, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The “Distribution of Rhizobium” scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, provides a subsidy to farmers for the purchase of Rhizobium, which is essential for improving soil fertility and crop yield in Pulses farming.",Quantum of Assistance: 50% on the cost of Rhizobium or ₹100/- per ha. whichever is less.,"The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should raise seed farms with Pulses crops.","Male, Female, Others",,,,,,Farmer,,,,"Proof of Identity (Aadhar Card, Voter ID, etc.)., Proof of Land Ownership., Proof of Pulses crop cultivation., Caste Certificate (for SC/ST applicants)., Bank Account Details., Any other documents (if required)."
Distribution of Rhizobium Packets-Oilseeds,"Agriculture, financial assistance, rhizobium, Subsidy, agriculture, oilseeds, Tribal Welfare, Agriculture, Financial Assistance, Subsidy, Tribal Welfare","The “Distribution of Rhizobium Packets-Oilseeds” scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu, provides a subsidy to farmers on the cost of Rhizobium. It targets farmers who produce and supply Foundation and Certified Class seeds to the Department of Agriculture.",Quantum of Assistance: 50% on the cost of Rhizobium or ₹100/- per ha. whichever is less.,"The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should produce and supply Foundation and Certified Class seeds to the Department.","Male, Female, Others",,,,,,Farmer,,,,"Proof of Identity (Aadhar Card, Voter ID, etc.)., Proof of Land Ownership., Certificate of seed production and supply to the Department., Bank Account Details., Any other documents (if required)."
Distribution of Sewing Machines at Free of Cost,"most backward classes, backward classes, Social Welfare, denotified communities, Tribal Welfare, social empowerment, Social Welfare, Tribal Welfare","The ""Distribution of Sewing Machines at Free of Cost"" scheme launched by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, aims to provide free sewing machines to eligible individuals from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNCs).",Free provision of Sewing Machines to eligible individuals.,"The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to Backward Classes (BC)/ Most Backward Classes (MBC)/ and Denotified Communities (DNCs)., The beneficiary should possess tailoring knowledge., Annual income should not exceed ₹40,000/- in rural areas and ₹60,000/- in urban areas., The beneficiary should be between 20-45 years of age.","Male, Female, Others",20 - 45,Rural,"BC, MBC, DNC",,,,<40000,,,"Identity proof (Aadhaar, PAN card, etc.)., Proof of community (BC/MBC/DNC certificate)., Income certificate., Age proof (Birth certificate, SSLC mark sheet, etc.), Certificate or documentation verifying tailoring knowledge., Any other documents (if required)."
Distribution of Sewing Machines at Free of Cost,"most backward classes, backward classes, Social Welfare, denotified communities, Tribal Welfare, social empowerment, Social Welfare, Tribal Welfare","The ""Distribution of Sewing Machines at Free of Cost"" scheme launched by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, aims to provide free sewing machines to eligible individuals from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNCs).",Free provision of Sewing Machines to eligible individuals.,"The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to Backward Classes (BC)/ Most Backward Classes (MBC)/ and Denotified Communities (DNCs)., The beneficiary should possess tailoring knowledge., Annual income should not exceed ₹40,000/- in rural areas and ₹60,000/- in urban areas., The beneficiary should be between 20-45 years of age.","Male, Female, Others",20 - 45,Urban,"BC, MBC, DNC",,,,<60000,,,"Identity proof (Aadhaar, PAN card, etc.)., Proof of community (BC/MBC/DNC certificate)., Income certificate., Age proof (Birth certificate, SSLC mark sheet, etc.), Certificate or documentation verifying tailoring knowledge., Any other documents (if required)."
Distribution of Soil Health Card,"Health & Nutrition, agriculture, Agriculture, soil health card, Agriculture, Health & Nutrition","Under the “Distribution of Soil Health Card” scheme, by the Agriculture-Farmers Welfare Department, Tamil Nadu, Soil health cards will be distributed to all the farmers who have offered the soil sample for testing by paying a prescribed fee of ₹5/- each for Macro and Micronutrient testing.",Soil Health Cards to farmers.,"The beneficiary should be a Farmer., The beneficiary should be a resident of Tamil Nadu., The beneficiary should have provided soil samples for testing., The beneficiary should have paid the prescribed fee ₹5/- each for Macro and Micronutrient testing.","Male, Female, Others",,,,,,Farmer,,,,"Proof of Identity (Aadhar Card, Voter ID, etc.)., Proof of Land Ownership., Proof of soil sample submission and payment., Any other documents (if required)."
"District Central Cooperative Banks and through its Branches: For Consumer Durables T.V., Fridge and Two Wheelers Loan","Financial Assistance, two wheeler loan, electronics, consumer loan, Financial Assistance","The ""District Central Cooperative Banks and through its Branches: For Consumer Durables T.V., Fridge and Two Wheelers Loan"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, offers loans for the purchase of consumer durables, including T.V.s, refrigerators, and two-wheelers. The loan covers up to 75% of the product cost, with no upper ceiling, and is subject to a 14% interest rate (subject to change).","Access to Loan: 75% of the cost of consumer durables., Interest Rate: 14% (subject to change).","The beneficiary should be a resident of Tamil Nadu., Loans should be applicable only for Consumer durables such as T.V., Fridge and two wheelers.","Male, Female, Others",,,,,,,,,,"Identity proof (Aadhaar, PAN card, etc.)., Address proof., Product cost estimate or invoice., Any other documents (if required)."
"District Central Cooperative Banks and through its Branches: For Housing, House Construction, Repair Extension Loan","Tribal Welfare, repair extension, Housing, construction, loan, Financial Assistance, housing, Financial Assistance, Housing, Tribal Welfare","The ""District Central Cooperative Banks and through its Branches: For Housing, House Construction, Repair Extension Loan"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, provides financial assistance to citizens for housing construction, repair, and extension. The maximum loan amount offered is ₹10,00,000/- with an interest rate of 12% (subject to change).","Access to Loan: Up to ₹10,00,000/-., Interest Rate: 12% (subject to change).","The beneficiary should be a resident of Tamil Nadu., Loans should be applicable only for Housing/ House Construction/ Repair Extension.","Male, Female, Others",,,,,,,,,,"Identity proof (Aadhaar, PAN card, etc.)., Address proof., Property Documents (Proof of ownership/ Property Deed, etc.), Any other documents (if required)."
District Central Cooperative Banks and through its Branches: For Jewel Loan,"jewel loan, Financial Assistance, banking, Financial Assistance","The ""District Central Cooperative Banks and through its Branches: For Jewel Loan"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, allows citizens to obtain loans by pledging their gold and jewelry. The maximum loan amount is ₹1,00,000/- with an interest rate of 12%, subject to changes as per bank policies.","Access to Loan: Up to ₹1,00,000/-., Interest Rate: 12% (subject to change).","The beneficiary should be a resident of Tamil Nadu., Loans should be applicable only for Jewel.","Male, Female, Others",,,,,,,,,,"Identity proof (Aadhaar, PAN card, etc.)., Address proof., Valuation certificate for the pledged jewelry., Any other documents (if required)."
